구분,구간,연장(km),공사기간,건설비(백만원),토공(천),"교량(개소,m)","소교량(개소,m)","장대교(개소,m)","터널(개소,m)",나들목(개소),휴게소(개소),횡단육교(개소),버스정류장(개소),평면교차(개소)
호남선,논산-전주,22.3,2005-12~2010-10,211576,4120,25/1571,24/881,1/690,,3,1,,,
호남선,동광주-고서,4.27,2005-12~2010-7,119515,4053,6/250,,6/250,,1,,,,
제2중부선,하남~호법,40.7,1997-4~2001-11,677933,16881,60/6063,32/1898,28/4165,2/943,2,,,,
중부내륙선,옥포~내서,64.3,1991-10~1996-12-30,346910,13359,48/3328,40/1155,8/2173,2/4661,5,4,3,,1
영동선,신갈~안산,23.2,1997-4~2001-9,366875,4998,51/3203,44/1880,7/1323,2/1282,5,,1,,
영동선,호법~가남,15,2000-6~2003-12,155876,2545,15/1043,12/522,3/521,,1,1,2,,
영동선,신갈~원주,77,1991-9~1994-12,455400,18526,64/5124,48/1334,15/3790,3/4852,7,5,8,4,
영동선,원주~새말,18.7,1994-10~1997-12,127342,6062,19/8215,15/5115,1/310,,2,,1,,
영동선,새말~월정,59.2,1995-8～1999-12,841229,18962,60/8124,35/1449,25/6675,5/7620,5,4,1,4,
영동선,월정~횡계,10.1,1996-7～2000-8,94000,6185,6/268,6/268,,,1,,1,,
영동선,횡계~강릉,26.6,1996-12~2001-11,715144,21407,36/7765,11/567,25/7198,7/4236,1,1,,,
영동선,신갈~호법,33.6,2007-10~2011-12,564676,4710,48/2190,43/1385,5/805,2/2285,4,2,,,
중앙선,대구～안동,81.4,1996-3~2000-05,284900,4345,46/3753,36/1148,10/2605,6/3257,5,2,,,
중앙선,제천～원주,35.6,1996-3~2001-08,312545,11289,47/6244,21/830,26/5414,6,2,2,,,
중앙선,홍천～춘천,26.2,1996-3~2000-05,164126,1985,24/4636,5/236,19/4400,4/2032,2,1,,,
동해선,강릉~주문진,15.4,1998-7～2001-12,272000,7815,22/3533,10/409,12/3124,,2,2,,,
동해선,동해~강릉,40.6,1999-12-24～2004-12-21,1416100,26128,60/9962,26/1573,34/8389,6/4267,4,3,2,,
수도권제1순환선,판교~퇴계원,34.3,1997-4～2002-12,687864,4200,68/7127,51/1777,17/5350,1/726,9,,4,,
(LH수탁),송파나들목개량,3.1,2016-8~2021-11,180000,322,16/921,14/381,2/540,,1,,,,
남해제2지선,냉정~구포,22.2,1991-10~1996-06,189484,3299,37/3206,31/1087,6/2139,,2,,,,1
남해제3지선,구포~서부산,3.9,1995-4～1999-9,180890,32,2/3360,,2/3360,,,,,,
경인선,신월~서인천,13.5,1989-9~1993-9,86600,960,14/280,14/280,,,3,,,,
경인선,서인천~인천,10.5,1994-10～1999-12,154630,500,16/723,15/623,1/100,,3,,3,,1
중부내륙선의지선,이현~성서,3.4,1996-12～1999-9,31682,628,1/320,,1/320,,2,,1,,
중부내륙선의지선,성서옥포,8.7,2005-12~2010-12,350911,2457,31/1461,27/844,4/617,,3,,,,
